"","country_name","v2x_polyarchy","v2x_freexp_altinf","v2xeg_eqdr"
"1","Mexico",0.534,0.663,0.293
"2","Suriname",0.753,0.845,0.664
"3","Sweden",0.884,0.949,0.903
"4","Switzerland",0.89,0.974,0.964
"5","Ghana",0.661,0.862,0.541
"6","South Africa",0.687,0.791,0.4
"7","Japan",0.818,0.854,0.974
"8","Burma/Myanmar",0.081,0.049,0.094
"9","Russia",0.19,0.095,0.597
"10","Albania",0.51,0.701,0.768
"11","Egypt",0.189,0.173,0.209
"12","Yemen",0.13,0.26,0.076
"13","Colombia",0.704,0.867,0.358
"14","Poland",0.588,0.642,0.839
"15","Brazil",0.784,0.894,0.505
"16","United States of America",0.848,0.928,0.571
"17","Portugal",0.845,0.943,0.846
"18","El Salvador",0.388,0.445,0.25
"19","Bangladesh",0.253,0.347,0.177
"20","Bolivia",0.586,0.743,0.38
"21","Haiti",0.214,0.649,0.102
"22","Honduras",0.534,0.898,0.132
"23","Mali",0.229,0.69,0.222
"24","Pakistan",0.344,0.557,0.138
"25","Peru",0.699,0.788,0.336
"26","Senegal",0.617,0.836,0.535
"27","South Sudan",0.143,0.147,0.07
"28","Sudan",0.135,0.331,0.152
"29","Vietnam",0.149,0.148,0.793
"30","Afghanistan",0.075,0.064,0.073
"31","Argentina",0.84,0.933,0.742
"32","Ethiopia",0.283,0.325,0.452
"33","India",0.377,0.42,0.259
"34","Kenya",0.564,0.887,0.548
"35","North Korea",0.084,0.013,0.524
"36","South Korea",0.703,0.734,0.949
"37","Kosovo",0.674,0.815,0.748
"38","Lebanon",0.364,0.737,0.436
"39","Nigeria",0.491,0.839,0.238
"40","Philippines",0.43,0.659,0.256
"41","Tanzania",0.435,0.76,0.602
"42","Taiwan",0.823,0.868,0.959
"43","Thailand",0.288,0.491,0.523
"44","Uganda",0.28,0.548,0.4
"45","Venezuela",0.211,0.251,0.048
"46","Benin",0.498,0.688,0.631
"47","Bhutan",0.527,0.7,0.929
"48","Burkina Faso",0.205,0.573,0.307
"49","Cambodia",0.198,0.194,0.246
"50","Indonesia",0.541,0.712,0.469
"51","Mozambique",0.353,0.625,0.222
"52","Nepal",0.681,0.84,0.317
"53","Nicaragua",0.17,0.048,0.449
"54","Niger",0.389,0.804,0.213
"55","Zambia",0.529,0.844,0.48
"56","Zimbabwe",0.288,0.433,0.303
"57","Guinea",0.18,0.559,0.157
"58","Ivory Coast",0.454,0.672,0.314
"59","Mauritania",0.363,0.699,0.256
"60","Canada",0.856,0.956,0.893
"61","Australia",0.854,0.937,0.841
"62","Botswana",0.558,0.813,0.746
"63","Burundi",0.188,0.225,0.131
"64","Cape Verde",0.754,0.842,0.625
"65","Central African Republic",0.302,0.641,0.106
"66","Chile",0.838,0.915,0.612
"67","Costa Rica",0.868,0.93,0.877
"68","Timor-Leste",0.698,0.801,0.348
"69","Ecuador",0.646,0.765,0.376
"70","France",0.877,0.961,0.799
"71","Germany",0.856,0.946,0.954
"72","Guatemala",0.505,0.673,0.135
"73","Iran",0.156,0.156,0.57
"74","Iraq",0.367,0.551,0.381
"75","Ireland",0.896,0.975,0.839
"76","Italy",0.837,0.9,0.914
"77","Jordan",0.256,0.539,0.689
"78","Latvia",0.852,0.94,0.81
"79","Lesotho",0.644,0.725,0.698
"80","Liberia",0.639,0.851,0.28
"81","Malawi",0.58,0.757,0.241
