Country,Year,Country_Code,CJ_index,CJ_effectiveness,CJ_impartial
Afghanistan,2025,AFG,0.24,0.22,0.18
Albania,2025,ALB,0.41,0.37,0.47
Algeria,2025,DZA,0.42,0.46,0.60
Angola,2025,AGO,0.34,0.24,0.37
Antigua and Barbuda,2025,ATG,0.53,0.36,0.50
Argentina,2025,ARG,0.38,0.26,0.50
Australia,2025,AUS,0.72,0.62,0.55
Austria,2025,AUT,0.78,0.81,0.69
The Bahamas,2025,BHS,0.57,0.45,0.58
Bangladesh,2025,BGD,0.32,0.30,0.24
Barbados,2025,BRB,0.58,0.61,0.50
Belarus,2025,BLR,0.38,0.40,0.48
Belgium,2025,BEL,0.70,0.51,0.72
Belize,2025,BLZ,0.40,0.22,0.46
Benin,2025,BEN,0.41,0.33,0.61
Bolivia,2025,BOL,0.19,0.19,0.25
Bosnia and Herzegovina,2025,BIH,0.47,0.45,0.46
Botswana,2025,BWA,0.58,0.54,0.64
Brazil,2025,BRA,0.33,0.21,0.11
Bulgaria,2025,BGR,0.45,0.32,0.48
Burkina Faso,2025,BFA,0.47,0.40,0.51
Cambodia,2025,KHM,0.27,0.29,0.25
Cameroon,2025,CMR,0.23,0.17,0.31
Canada,2025,CAN,0.72,0.65,0.54
Chile,2025,CHL,0.54,0.35,0.52
China,2025,CHN,0.45,0.58,0.37
Colombia,2025,COL,0.31,0.17,0.31
"Congo, Dem. Rep.",2025,COD,0.28,0.13,0.44
"Congo, Rep.",2025,COG,0.34,0.29,0.46
Costa Rica,2025,CRI,0.57,0.40,0.72
Côte d'Ivoire,2025,CIV,0.36,0.32,0.46
Croatia,2025,HRV,0.50,0.42,0.47
Cyprus,2025,CYP,0.67,0.63,0.59
Czechia,2025,CZE,0.70,0.59,0.67
Denmark,2025,DNK,0.84,0.79,0.80
Dominica,2025,DMA,0.56,0.38,0.60
Dominican Republic,2025,DOM,0.39,0.27,0.45
Ecuador,2025,ECU,0.30,0.12,0.30
"Egypt, Arab Rep.",2025,EGY,0.34,0.21,0.33
El Salvador,2025,SLV,0.20,0.21,0.11
Estonia,2025,EST,0.76,0.75,0.78
Ethiopia,2025,ETH,0.34,0.40,0.37
Finland,2025,FIN,0.84,0.81,0.83
France,2025,FRA,0.64,0.54,0.53
Gabon,2025,GAB,0.30,0.27,0.49
The Gambia,2025,GMB,0.40,0.16,0.38
Georgia,2025,GEO,0.50,0.63,0.47
Germany,2025,DEU,0.79,0.80,0.73
Ghana,2025,GHA,0.45,0.36,0.53
Greece,2025,GRC,0.50,0.35,0.42
Grenada,2025,GRD,0.54,0.40,0.50
Guatemala,2025,GTM,0.30,0.14,0.32
Guinea,2025,GIN,0.31,0.18,0.44
Guyana,2025,GUY,0.40,0.17,0.40
Haiti,2025,HTI,0.24,0.12,0.29
Honduras,2025,HND,0.27,0.17,0.30
"Hong Kong SAR, China",2025,HKG,0.68,0.79,0.65
Hungary,2025,HUN,0.44,0.41,0.24
India,2025,IND,0.39,0.36,0.37
Indonesia,2025,IDN,0.38,0.36,0.24
"Iran, Islamic Rep.",2025,IRN,0.34,0.46,0.26
Ireland,2025,IRL,0.74,0.64,0.63
Italy,2025,ITA,0.63,0.51,0.64
